time(s),seg1_sens1,seg1_sens2,seg1_sens3,seg1_sens4,seg1_sens5,seg1_sens6,seg1_sens7,seg1_sens8,seg1_sens9,seg1_sens10,seg2_sens1,seg2_sens2,seg2_sens3,seg2_sens4,seg2_sens5,seg2_sens6,seg2_sens7,seg2_sens8,seg2_sens9,seg2_sens10,seg3_sens1,seg3_sens2,seg3_sens3,seg3_sens4,seg3_sens5,seg3_sens6,seg3_sens7,seg3_sens8,seg3_sens9,seg3_sens10,seg4_sens1,seg4_sens2,seg4_sens3,seg4_sens4,seg4_sens5,seg4_sens6,seg4_sens7,seg4_sens8,seg4_sens9,seg4_sens10,seg5_sens1,seg5_sens2,seg5_sens3,seg5_sens4,seg5_sens5,seg5_sens6,seg5_sens7,seg5_sens8,seg5_sens9,seg5_sens10,seg6_sens1,seg6_sens2,seg6_sens3,seg6_sens4,seg6_sens5,seg6_sens6,seg6_sens7,seg6_sens8,seg6_sens9,seg6_sens10,seg7_sens1,seg7_sens2,seg7_sens3,seg7_sens4,seg7_sens5,seg7_sens6,seg7_sens7,seg7_sens8,seg7_sens9,seg7_sens10,seg8_sens1,seg8_sens2,seg8_sens3,seg8_sens4,seg8_sens5,seg8_sens6,seg8_sens7,seg8_sens8,seg8_sens9,seg8_sens10
1.0006,23.09,23.09,22.71,23.17,23.48,23.25,23.48,23.33,23.09,23.33,23.09,23.09,22.71,23.17,23.48,23.25,23.48,23.33,23.09,23.33,23.09,23.09,22.71,23.17,23.48,23.25,23.48,23.33,23.09,23.33,23.09,23.09,22.71,23.17,23.48,23.25,23.48,23.33,23.09,23.33,23.09,23.09,22.71,23.17,23.48,23.25,23.48,23.33,23.09,23.33,23.09,23.09,22.71,23.17,23.48,23.25,23.48,23.33,23.09,23.33,23.09,23.09,22.71,23.17,23.48,23.25,23.48,23.33,23.09,23.33,23.09,23.09,22.71,23.17,23.48,23.25,23.48,23.33,23.09,23.33
2.0026,23.09,22.94,22.63,23.25,23.56,23.09,23.33,23.17,23.33,23.33,23.09,22.94,22.63,23.25,23.56,23.09,23.33,23.17,23.33,23.33,23.09,22.94,22.63,23.25,23.56,23.09,23.33,23.17,23.33,23.33,23.09,22.94,22.63,23.25,23.56,23.09,23.33,23.17,23.33,23.33,23.09,22.94,22.63,23.25,23.56,23.09,23.33,23.17,23.33,23.33,23.09,22.94,22.63,23.25,23.56,23.09,23.33,23.17,23.33,23.33,23.09,22.94,22.63,23.25,23.56,23.09,23.33,23.17,23.33,23.33,23.09,22.94,22.63,23.25,23.56,23.09,23.33,23.17,23.33,23.33
3.0041,23.09,23.09,22.79,23.25,23.4,23.09,23.48,23.4,23.17,23.25,23.09,23.09,22.79,23.25,23.4,23.09,23.48,23.4,23.17,23.25,23.09,23.09,22.79,23.25,23.4,23.09,23.48,23.4,23.17,23.25,23.09,23.09,22.79,23.25,23.4,23.09,23.48,23.4,23.17,23.25,23.09,23.09,22.79,23.25,23.4,23.09,23.48,23.4,23.17,23.25,23.09,23.09,22.79,23.25,23.4,23.09,23.48,23.4,23.17,23.25,23.09,23.09,22.79,23.25,23.4,23.09,23.48,23.4,23.17,23.25,23.09,23.09,22.79,23.25,23.4,23.09,23.48,23.4,23.17,23.25
4.0053,23.09,22.94,22.79,23.4,23.71,23.25,23.4,23.4,23.4,23.48,23.09,22.94,22.79,23.4,23.71,23.25,23.4,23.4,23.4,23.48,23.09,22.94,22.79,23.4,23.71,23.25,23.4,23.4,23.4,23.48,23.09,22.94,22.79,23.4,23.71,23.25,23.4,23.4,23.4,23.48,23.09,22.94,22.79,23.4,23.71,23.25,23.4,23.4,23.4,23.48,23.09,22.94,22.79,23.4,23.71,23.25,23.4,23.4,23.4,23.48,23.09,22.94,22.79,23.4,23.71,23.25,23.4,23.4,23.4,23.48,23.09,22.94,22.79,23.4,23.71,23.25,23.4,23.4,23.4,23.48
5.0058,23.09,23.09,22.79,23.25,23.63,23.33,23.56,23.4,23.17,23.33,23.09,23.09,22.79,23.25,23.63,23.33,23.56,23.4,23.17,23.33,23.09,23.09,22.79,23.25,23.63,23.33,23.56,23.4,23.17,23.33,23.09,23.09,22.79,23.25,23.63,23.33,23.56,23.4,23.17,23.33,23.09,23.09,22.79,23.25,23.63,23.33,23.56,23.4,23.17,23.33,23.09,23.09,22.79,23.25,23.63,23.33,23.56,23.4,23.17,23.33,23.09,23.09,22.79,23.25,23.63,23.33,23.56,23.4,23.17,23.33,23.09,23.09,22.79,23.25,23.63,23.33,23.56,23.4,23.17,23.33
6.0059,23.25,23.17,22.79,23.25,23.56,23.33,23.56,23.4,23.17,23.4,23.25,23.17,22.79,23.25,23.56,23.33,23.56,23.4,23.17,23.4,23.25,23.17,22.79,23.25,23.56,23.33,23.56,23.4,23.17,23.4,23.25,23.17,22.79,23.25,23.56,23.33,23.56,23.4,23.17,23.4,23.25,23.17,22.79,23.25,23.56,23.33,23.56,23.4,23.17,23.4,23.25,23.17,22.79,23.25,23.56,23.33,23.56,23.4,23.17,23.4,23.25,23.17,22.79,23.25,23.56,23.33,23.56,23.4,23.17,23.4,23.25,23.17,22.79,23.25,23.56,23.33,23.56,23.4,23.17,23.4
7.0099,23.25,23.17,22.86,23.33,23.48,23.17,23.4,23.4,23.17,23.33,23.25,23.17,22.86,23.33,23.48,23.17,23.4,23.4,23.17,23.33,23.25,23.17,22.86,23.33,23.48,23.17,23.4,23.4,23.17,23.33,23.25,23.17,22.86,23.33,23.48,23.17,23.4,23.4,23.17,23.33,23.25,23.17,22.86,23.33,23.48,23.17,23.4,23.4,23.17,23.33,23.25,23.17,22.86,23.33,23.48,23.17,23.4,23.4,23.17,23.33,23.25,23.17,22.86,23.33,23.48,23.17,23.4,23.4,23.17,23.33,23.25,23.17,22.86,23.33,23.48,23.17,23.4,23.4,23.17,23.33
8.0122,23.17,23.02,22.79,23.48,23.71,23.33,23.48,23.33,23.33,23.4,23.17,23.02,22.79,23.48,23.71,23.33,23.48,23.33,23.33,23.4,23.17,23.02,22.79,23.48,23.71,23.33,23.48,23.33,23.33,23.4,23.17,23.02,22.79,23.48,23.71,23.33,23.48,23.33,23.33,23.4,23.17,23.02,22.79,23.48,23.71,23.33,23.48,23.33,23.33,23.4,23.17,23.02,22.79,23.48,23.71,23.33,23.48,23.33,23.33,23.4,23.17,23.02,22.79,23.48,23.71,23.33,23.48,23.33,23.33,23.4,23.17,23.02,22.79,23.48,23.71,23.33,23.48,23.33,23.33,23.4
9.0125,23.25,23.09,22.79,23.48,23.79,23.33,23.56,23.4,23.4,23.56,23.25,23.09,22.79,23.48,23.79,23.33,23.56,23.4,23.4,23.56,23.25,23.09,22.79,23.48,23.79,23.33,23.56,23.4,23.4,23.56,23.25,23.09,22.79,23.48,23.79,23.33,23.56,23.4,23.4,23.56,23.25,23.09,22.79,23.48,23.79,23.33,23.56,23.4,23.4,23.56,23.25,23.09,22.79,23.48,23.79,23.33,23.56,23.4,23.4,23.56,23.25,23.09,22.79,23.48,23.79,23.33,23.56,23.4,23.4,23.56,23.25,23.09,22.79,23.48,23.79,23.33,23.56,23.4,23.4,23.56
10.0156,23.17,23.02,22.71,23.4,23.71,23.33,23.48,23.33,23.48,23.56,23.17,23.02,22.71,23.4,23.71,23.33,23.48,23.33,23.48,23.56,23.17,23.02,22.71,23.4,23.71,23.33,23.48,23.33,23.48,23.56,23.17,23.02,22.71,23.4,23.71,23.33,23.48,23.33,23.48,23.56,23.17,23.02,22.71,23.4,23.71,23.33,23.48,23.33,23.48,23.56,23.17,23.02,22.71,23.4,23.71,23.33,23.48,23.33,23.48,23.56,23.17,23.02,22.71,23.4,23.71,23.33,23.48,23.33,23.48,23.56,23.17,23.02,22.71,23.4,23.71,23.33,23.48,23.33,23.48,23.56
