time(s),seg1_sens1,seg1_sens2,seg1_sens3,seg1_sens4,seg1_sens5,seg1_sens6,seg1_sens7,seg1_sens8,seg1_sens9,seg1_sens10,seg2_sens1,seg2_sens2,seg2_sens3,seg2_sens4,seg2_sens5,seg2_sens6,seg2_sens7,seg2_sens8,seg2_sens9,seg2_sens10,seg3_sens1,seg3_sens2,seg3_sens3,seg3_sens4,seg3_sens5,seg3_sens6,seg3_sens7,seg3_sens8,seg3_sens9,seg3_sens10,seg4_sens1,seg4_sens2,seg4_sens3,seg4_sens4,seg4_sens5,seg4_sens6,seg4_sens7,seg4_sens8,seg4_sens9,seg4_sens10,seg5_sens1,seg5_sens2,seg5_sens3,seg5_sens4,seg5_sens5,seg5_sens6,seg5_sens7,seg5_sens8,seg5_sens9,seg5_sens10,seg6_sens1,seg6_sens2,seg6_sens3,seg6_sens4,seg6_sens5,seg6_sens6,seg6_sens7,seg6_sens8,seg6_sens9,seg6_sens10,seg7_sens1,seg7_sens2,seg7_sens3,seg7_sens4,seg7_sens5,seg7_sens6,seg7_sens7,seg7_sens8,seg7_sens9,seg7_sens10,seg8_sens1,seg8_sens2,seg8_sens3,seg8_sens4,seg8_sens5,seg8_sens6,seg8_sens7,seg8_sens8,seg8_sens9,seg8_sens10,fl_inner,fl_middle,fl_outer,fr_inner,fr_middle,fr_outer,rl_inner,rl_middle,rl_outer,rr_inner,rr_middle,rr_outer
1.0006,23.09,23.09,22.71,23.17,23.48,23.25,23.48,23.33,23.09,23.33,23.09,23.09,22.71,23.17,23.48,23.25,23.48,23.33,23.09,23.33,23.09,23.09,22.71,23.17,23.48,23.25,23.48,23.33,23.09,23.33,23.09,23.09,22.71,23.17,23.48,23.25,23.48,23.33,23.09,23.33,23.09,23.09,22.71,23.17,23.48,23.25,23.48,23.33,23.09,23.33,23.09,23.09,22.71,23.17,23.48,23.25,23.48,23.33,23.09,23.33,23.09,23.09,22.71,23.17,23.48,23.25,23.48,23.33,23.09,23.33,23.09,23.09,22.71,23.17,23.48,23.25,23.48,23.33,23.09,23.33,26.04,24.59,24.63,25.82,25.43,23.01,26.58,25.7,23.95,26.47,25.57,24.25
2.0026,23.09,22.94,22.63,23.25,23.56,23.09,23.33,23.17,23.33,23.33,23.09,22.94,22.63,23.25,23.56,23.09,23.33,23.17,23.33,23.33,23.09,22.94,22.63,23.25,23.56,23.09,23.33,23.17,23.33,23.33,23.09,22.94,22.63,23.25,23.56,23.09,23.33,23.17,23.33,23.33,23.09,22.94,22.63,23.25,23.56,23.09,23.33,23.17,23.33,23.33,23.09,22.94,22.63,23.25,23.56,23.09,23.33,23.17,23.33,23.33,23.09,22.94,22.63,23.25,23.56,23.09,23.33,23.17,23.33,23.33,23.09,22.94,22.63,23.25,23.56,23.09,23.33,23.17,23.33,23.33,26.68,24.58,25.53,26.63,26.02,23.69,26.89,25.57,23.22,25.83,25.29,23.03
3.0041,23.09,23.09,22.79,23.25,23.4,23.09,23.48,23.4,23.17,23.25,23.09,23.09,22.79,23.25,23.4,23.09,23.48,23.4,23.17,23.25,23.09,23.09,22.79,23.25,23.4,23.09,23.48,23.4,23.17,23.25,23.09,23.09,22.79,23.25,23.4,23.09,23.48,23.4,23.17,23.25,23.09,23.09,22.79,23.25,23.4,23.09,23.48,23.4,23.17,23.25,23.09,23.09,22.79,23.25,23.4,23.09,23.48,23.4,23.17,23.25,23.09,23.09,22.79,23.25,23.4,23.09,23.48,23.4,23.17,23.25,23.09,23.09,22.79,23.25,23.4,23.09,23.48,23.4,23.17,23.25,27.4,24.1,25.1,26.38,26.27,24.03,26.58,26.24,24.05,26.79,25.81,23.51
4.0053,23.09,22.94,22.79,23.4,23.71,23.25,23.4,23.4,23.4,23.48,23.09,22.94,22.79,23.4,23.71,23.25,23.4,23.4,23.4,23.48,23.09,22.94,22.79,23.4,23.71,23.25,23.4,23.4,23.4,23.48,23.09,22.94,22.79,23.4,23.71,23.25,23.4,23.4,23.4,23.48,23.09,22.94,22.79,23.4,23.71,23.25,23.4,23.4,23.4,23.48,23.09,22.94,22.79,23.4,23.71,23.25,23.4,23.4,23.4,23.48,23.09,22.94,22.79,23.4,23.71,23.25,23.4,23.4,23.4,23.48,23.09,22.94,22.79,23.4,23.71,23.25,23.4,23.4,23.4,23.48,26.9,25.07,25.55,26.61,26.93,24.49,26.76,26.2,24.43,26.26,25.94,24.37
5.0058,23.09,23.09,22.79,23.25,23.63,23.33,23.56,23.4,23.17,23.33,23.09,23.09,22.79,23.25,23.63,23.33,23.56,23.4,23.17,23.33,23.09,23.09,22.79,23.25,23.63,23.33,23.56,23.4,23.17,23.33,23.09,23.09,22.79,23.25,23.63,23.33,23.56,23.4,23.17,23.33,23.09,23.09,22.79,23.25,23.63,23.33,23.56,23.4,23.17,23.33,23.09,23.09,22.79,23.25,23.63,23.33,23.56,23.4,23.17,23.33,23.09,23.09,22.79,23.25,23.63,23.33,23.56,23.4,23.17,23.33,23.09,23.09,22.79,23.25,23.63,23.33,23.56,23.4,23.17,23.33,25.93,25.08,25.31,26.98,26.07,23.63,26.46,26.4,23.41,25.56,26.38,23.63
6.0059,23.25,23.17,22.79,23.25,23.56,23.33,23.56,23.4,23.17,23.4,23.25,23.17,22.79,23.25,23.56,23.33,23.56,23.4,23.17,23.4,23.25,23.17,22.79,23.25,23.56,23.33,23.56,23.4,23.17,23.4,23.25,23.17,22.79,23.25,23.56,23.33,23.56,23.4,23.17,23.4,23.25,23.17,22.79,23.25,23.56,23.33,23.56,23.4,23.17,23.4,23.25,23.17,22.79,23.25,23.56,23.33,23.56,23.4,23.17,23.4,23.25,23.17,22.79,23.25,23.56,23.33,23.56,23.4,23.17,23.4,23.25,23.17,22.79,23.25,23.56,23.33,23.56,23.4,23.17,23.4,26.97,24.1,25.86,26.99,25.79,23.95,27.11,26.31,22.49,26.29,25.68,23.58
7.0099,23.25,23.17,22.86,23.33,23.48,23.17,23.4,23.4,23.17,23.33,23.25,23.17,22.86,23.33,23.48,23.17,23.4,23.4,23.17,23.33,23.25,23.17,22.86,23.33,23.48,23.17,23.4,23.4,23.17,23.33,23.25,23.17,22.86,23.33,23.48,23.17,23.4,23.4,23.17,23.33,23.25,23.17,22.86,23.33,23.48,23.17,23.4,23.4,23.17,23.33,23.25,23.17,22.86,23.33,23.48,23.17,23.4,23.4,23.17,23.33,23.25,23.17,22.86,23.33,23.48,23.17,23.4,23.4,23.17,23.33,23.25,23.17,22.86,23.33,23.48,23.17,23.4,23.4,23.17,23.33,27.65,25.17,25.34,26.85,26.0,24.41,26.79,26.15,23.58,26.3,25.22,23.93
8.0122,23.17,23.02,22.79,23.48,23.71,23.33,23.48,23.33,23.33,23.4,23.17,23.02,22.79,23.48,23.71,23.33,23.48,23.33,23.33,23.4,23.17,23.02,22.79,23.48,23.71,23.33,23.48,23.33,23.33,23.4,23.17,23.02,22.79,23.48,23.71,23.33,23.48,23.33,23.33,23.4,23.17,23.02,22.79,23.48,23.71,23.33,23.48,23.33,23.33,23.4,23.17,23.02,22.79,23.48,23.71,23.33,23.48,23.33,23.33,23.4,23.17,23.02,22.79,23.48,23.71,23.33,23.48,23.33,23.33,23.4,23.17,23.02,22.79,23.48,23.71,23.33,23.48,23.33,23.33,23.4,26.43,24.51,25.07,25.77,26.58,22.81,26.9,25.79,23.44,25.58,26.27,24.34
9.0125,23.25,23.09,22.79,23.48,23.79,23.33,23.56,23.4,23.4,23.56,23.25,23.09,22.79,23.48,23.79,23.33,23.56,23.4,23.4,23.56,23.25,23.09,22.79,23.48,23.79,23.33,23.56,23.4,23.4,23.56,23.25,23.09,22.79,23.48,23.79,23.33,23.56,23.4,23.4,23.56,23.25,23.09,22.79,23.48,23.79,23.33,23.56,23.4,23.4,23.56,23.25,23.09,22.79,23.48,23.79,23.33,23.56,23.4,23.4,23.56,23.25,23.09,22.79,23.48,23.79,23.33,23.56,23.4,23.4,23.56,23.25,23.09,22.79,23.48,23.79,23.33,23.56,23.4,23.4,23.56,26.94,24.72,25.81,26.4,26.21,24.45,27.79,26.38,23.81,26.48,26.95,23.71
10.0156,23.17,23.02,22.71,23.4,23.71,23.33,23.48,23.33,23.48,23.56,23.17,23.02,22.71,23.4,23.71,23.33,23.48,23.33,23.48,23.56,23.17,23.02,22.71,23.4,23.71,23.33,23.48,23.33,23.48,23.56,23.17,23.02,22.71,23.4,23.71,23.33,23.48,23.33,23.48,23.56,23.17,23.02,22.71,23.4,23.71,23.33,23.48,23.33,23.48,23.56,23.17,23.02,22.71,23.4,23.71,23.33,23.48,23.33,23.48,23.56,23.17,23.02,22.71,23.4,23.71,23.33,23.48,23.33,23.48,23.56,23.17,23.02,22.71,23.4,23.71,23.33,23.48,23.33,23.48,23.56,26.71,26.07,24.47,27.11,26.32,23.73,27.53,27.29,24.81,26.82,26.04,23.03
